TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO,NETCASH_OPERATE,NETCASH_OPERATE_RATIO,SALES_SERVICES,SALES_SERVICES_RATIO,PAY_STAFF_CASH,PSC_RATIO,NETCASH_INVEST,NETCASH_INVEST_RATIO,CONSTRUCT_LONG_ASSET,CLA_RATIO,NETCASH_FINANCE,NETCASH_FINANCE_RATIO,CCE_ADD,CCE_ADD_RATIO,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_TAX_ADD,TOI_RATIO,OPERATE_PROFIT_RATIO,PARENT_NETPROFIT_RATIO,DEDUCT_PARENT_NETPROFIT,DPN_RATIO,成本,损失,资本,费用,债务,风险,资金流,服务,外国,责任,降低,减少,损害,有限,反对,事项,不利,收费,制作,顺序,折旧,要价,过量,重组,诉讼,中断,结束,失败,可疑,局限性,权利,波动,违约,被告,原告,困难,缺陷,表现,不佳,暴露,控制,变量,超额,收益,欺诈,减持,回落,锐减,下降,亏损,大幅,明显,小幅,快速,适当,强烈,相当,谨慎,并非,没有,未能,确定,可能,或是,是否,有望,大约,能否,规模,成长性,震荡,长阳,抛售,2YearsLater
3031841000.0,30808640.0,112250020.0,65.76589,415882180.0,447491360.0,-6.574232,1289555500.0,360158240.0,15.17668,29795976.0,1742285600.0,10.319023,-2.8699214,-16.377087,124.519005,42.533745,12284797.0,40.59567,585165500.0,1933.7058,85096984.0,281.20685,225313420.0,744.5584,7606360.0,25.13556,-207338670.0,-685.16003,30261350.0,313.04605,174688340.0,552609100.0,579529860.0,16.725216,416518460.0,416518460.0,21.879787,10505839.0,98769180.0,26851766.0,200269230.0,201341250.0,22842606.0,4573395.0,13.663246,15.933857,17.39,50830120.0,142.44812,9,1,0,4,0,0,0,44,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,2,1,4,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,2,0,0,0,0,0,1
533693400.0,60078260.0,78951130.0,1083.7257,708251600.0,135107.08,28.697187,320889060.0,5702717.0,-5.0130005,647721.0,212804350.0,9.56483,-2.022466,-8.443787,937.22107,60.126106,-31798382.0,-85.618774,44810204.0,120.65377,15515178.0,41.77541,55937880.0,150.61562,440966.72,1.1873255,13000000.0,35.003166,37139496.0,1768.8801,22287512.0,42020840.0,40180524.0,-4.4405007,13168920.0,13168920.0,1.3082676,267846820.0,25933172.0,-23992.64,40790268.0,41238244.0,19009174.0,1102422.2,-0.9966117,120.47468,111.35889,310876.75,101.26355,12,1,0,1,0,1,0,7,0,1,4,4,0,3,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,3,0,15,0,0,0,0,0,0,0,0,1
62733604.0,4191503.2,6074368.0,-67.14584,38616524.0,6078330.5,154.68533,51292020.0,10191385.0,2.1282125,1739953.8,11441583.0,-32.61914,-14.348625,-8.834439,109.854355,81.761635,-13791941.0,-132.42995,34301260.0,329.36002,6068095.0,58.26573,-897577.0,-8.618517,897577.0,8.618517,4275000.0,41.048466,-10414518.0,-287.38867,-7186905.5,76022690.0,80986696.0,-33.074875,68681470.0,68681470.0,-36.44808,3178476.5,6409465.5,-95401.17,-7996248.0,-7801557.0,12324.52,59405.21,-36.5986,-246.98764,351.45,-7370500.0,-301.02518,19,0,1,5,0,1,0,3,0,0,0,2,0,0,0,8,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,2,1,2,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,2,0,5,0,0,1
7212131300.0,1638315600.0,2112556200.0,-39.796227,745201700.0,774607170.0,-87.39542,6115973600.0,1117577500.0,-36.272167,292254000.0,1096157400.0,630.00275,-64.63321,-69.78606,109.51841,84.8012,-37709280.0,-2.0150387,1184512600.0,63.29579,1040580540.0,55.604614,156633520.0,8.369892,21457106.0,1.1465851,1752468100.0,93.64514,1871392400.0,183.57097,-2988269800.0,1002138400.0,4012826400.0,-27.608461,1981987600.0,1981987600.0,-46.85094,370985020.0,945414100.0,465534700.0,-3038994400.0,-3087719000.0,28876124.0,24340216.0,-80.01675,-294.1423,-279.1,-4944411000.0,-538.82556,12,2,2,5,1,6,1,21,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,7,0,0,1,0,0,0,0,4,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,1
23125148000.0,10009858000.0,2662852400.0,-10.609342,139868020.0,1372708700.0,-6.8977804,21981694000.0,2211754000.0,0.34060574,752594370.0,1143455400.0,-41.257416,-3.3526707,0.004057851,43.016796,95.05536,2253870300.0,482.58856,15168412000.0,3247.7917,678860540.0,145.35455,144210940.0,30.877796,714139840.0,152.9084,-2864391700.0,-613.3106,-467037700.0,-261.2542,164393900.0,14660025000.0,15086001000.0,13.882526,12574360000.0,12574360000.0,20.26659,582188740.0,557015600.0,800400060.0,30432720.0,134219060.0,28064834.0,87909630.0,14.4218025,-91.44684,-38.84,-666793300.0,-18.475107,8,3,0,2,0,7,0,1,0,0,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,6,4,0,16,1,0,0,0,0,0,0,0,1
246871600.0,21394096.0,73011290.0,-68.91316,2115757.0,26579212.0,-5.9430146,37019044.0,15120896.0,-1.5166878,101300.58,209852560.0,-4.4834294,-40.72626,-81.188675,379.87805,14.995262,-11656245.0,-7.201832,16573383.0,10.239895,14852184.0,9.176449,9805137.0,6.0581217,195863.0,0.12101431,-160000000.0,-98.85629,-161851100.0,-255.99547,-9031085.0,16318725.0,29521216.0,-52.94605,13544780.0,13544780.0,-8.702916,267846820.0,16934940.0,-1368926.6,-16040892.0,-9850219.0,110661780.0,410423.88,-6.291103,-121.6589,-111.66,-15192071.0,69.22627,6,0,0,5,1,7,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,0,1,0,0,0,0,0,1
156865970.0,14575564.0,27758860.0,-14.01827,7918213.5,3005790.2,348.30853,253877650.0,1543817.2,104821.66,3469304.2,-97011700.0,-740.10095,-24.198778,32.374004,35.484566,161.84369,-6361382.5,-140.5188,77697780.0,1716.2933,24814442.0,548.1348,1834313.8,40.5188,830597.5,18.347359,185898060.0,-46.754726,-4527068.5,76.56061,-129495970.0,70122110.0,68553780.0,-94.428375,34607636.0,34607636.0,-97.07255,3661567.8,29069162.0,10920.42,-49402440.0,-119238100.0,4225848.0,1204489.1,-94.20049,-27.58251,-141.05,-62048980.0,20.11373,6,0,0,1,3,4,0,10,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1
7206490000.0,587386050.0,1032174850.0,16.230968,893326800.0,278493820.0,-22.981434,5704096000.0,617887700.0,9.013516,94634230.0,1502394000.0,-25.243618,4.968982,17.473816,115.020325,79.15221,-556824300.0,-375.34772,8880015000.0,5985.898,183963940.0,124.00759,-86509800.0,-58.315083,171742190.0,115.76907,791001660.0,533.2035,148348930.0,-49.356205,-100071500.0,5746059300.0,5903941600.0,-17.613832,5340459000.0,5340459000.0,-20.098112,231790450.0,133882230.0,136434080.0,-129674024.0,-122780460.0,-12589756.0,21428900.0,-18.08656,24.435,26.37,-150357980.0,-0.68391573,32,0,4,15,1,14,0,8,0,1,5,4,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,13,0,0,1,0,0,0,0,9,0,2,1,0,0,0,0,0,0,0,8,2,1,4,0,13,0,0,0,3,0,0,0,0,1
13801587000.0,3598222800.0,1405751200.0,-51.46589,1209890700.0,1089226200.0,-25.777819,9209006000.0,1380979600.0,-5.4138937,225394050.0,4592580600.0,-3.2668722,3.2326353,6.8116875,93.7235,66.72426,1464507800.0,696.5643,3996190200.0,1900.7092,348935680.0,165.96439,-4091455700.0,-1946.0204,211667220.0,100.67535,2421569000.0,1151.7716,-210247330.0,75.71471,-340045470.0,4614454300.0,4702757000.0,-9.141905,3626978800.0,3626978800.0,-13.636405,217404850.0,482391870.0,240197330.0,-355638180.0,-356091620.0,-19251702.0,27970982.0,-21.898401,-144.99115,-153.41,-369963680.0,-174.37611,8,1,0,2,0,26,0,1,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,5,5,0,0,1,0,0,0,0,0,0,2,0,2,0,5,0,0,0,4,0,0,0,0,1
52454210000.0,4028294700.0,5822237700.0,-60.188763,659186800.0,5943331000.0,-7.4325867,21961587000.0,3051069400.0,-3.2262974,1693996500.0,30492623000.0,-5.0337744,-6.057108,-7.441928,165.23059,41.86811,442377950.0,5.0915947,5997754000.0,69.03177,738575200.0,8.500708,-7795257300.0,-89.72032,36589616.0,0.42113197,-1334892500.0,-15.364084,-8688397000.0,-466.1732,-1220216600.0,5829365000.0,6710126600.0,-58.244328,4266512600.0,4266512600.0,-67.97768,797890800.0,919144900.0,563062850.0,-933125950.0,-983665400.0,314376700.0,152573420.0,-64.3496,-162.11214,-261.13,-1640354700.0,-1179.3422,11,6,0,5,1,4,1,14,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,7,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,9,2,0,0,2,0,0,0,0,1
