TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO,NETCASH_OPERATE,NETCASH_OPERATE_RATIO,SALES_SERVICES,SALES_SERVICES_RATIO,PAY_STAFF_CASH,PSC_RATIO,NETCASH_INVEST,NETCASH_INVEST_RATIO,CONSTRUCT_LONG_ASSET,CLA_RATIO,NETCASH_FINANCE,NETCASH_FINANCE_RATIO,CCE_ADD,CCE_ADD_RATIO,PARENT_NETPROFIT,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_COST,TOE_RATIO,OPERATE_COST,OPERATE_EXPENSE,OPERATE_EXPENSE_RATIO,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,OPERATE_PROFIT,TOTAL_PROFIT,INCOME_TAX,OPERATE_TAX_ADD,TOI_RATIO,OPERATE_PROFIT_RATIO,PARENT_NETPROFIT_RATIO,DEDUCT_PARENT_NETPROFIT,DPN_RATIO,成本,损失,资本,费用,债务,风险,资金流,服务,外国,责任,降低,减少,损害,有限,反对,事项,不利,收费,制作,顺序,折旧,要价,过量,重组,诉讼,中断,结束,失败,可疑,局限性,权利,波动,违约,被告,原告,困难,缺陷,表现,不佳,暴露,控制,变量,超额,收益,欺诈,减持,回落,锐减,下降,亏损,大幅,明显,小幅,快速,适当,强烈,相当,谨慎,并非,没有,未能,确定,可能,或是,是否,有望,大约,能否,规模,成长性,震荡,长阳,抛售,4YearsLater
2912100000.0,32886986.0,87071400.0,14.005891,193069010.0,416132160.0,-0.44206133,1507732100.0,279547230.0,32.512577,280898240.0,1404367900.0,3.617778,15.228681,28.657007,86.06473,51.774734,-243303470.0,-1964.5139,341273730.0,2755.5586,73955530.0,597.1418,13434569.0,108.47522,19295228.0,155.79616,242304450.0,1956.4474,12384920.0,113.74542,15308436.0,530922240.0,549294660.0,14.122599,346440220.0,346440220.0,2.9469562,16377965.0,90282984.0,45026484.0,55770680.0,57958610.0,35022616.0,6494567.5,10.181058,-56.73862,-85.91128,-62329572.0,-317.3724,10,0,1,1,0,2,0,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,7,0,0,0,1,0,0,0,0,1
442675600.0,69828220.0,8864751.0,-84.82104,708251600.0,119369.69,9.793006,52248510.0,5626654.5,-1.4913293,5059935.5,390427070.0,-10.704836,-13.937909,-32.26411,372.0543,11.80289,2266984.5,4.5744123,51165764.0,103.24433,23483708.0,47.386368,-51824924.0,-104.57441,1779584.2,3.5909164,185898060.0,-46.754726,-49557940.0,69.07166,16453651.0,39644012.0,53249900.0,-24.007906,12308120.0,12308120.0,-6.3174167,267846820.0,32863522.0,-1658762.2,6651055.0,1821857.0,1026801.56,1115629.1,2.016483,-92.70355,-78.91072,-2992093.0,80.7586,11,0,7,1,0,3,0,8,0,0,1,1,0,34,0,3,0,0,0,0,0,0,0,8,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,0,6,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,1
73559960.0,3941118.0,27985654.0,16.532663,29007776.0,2777174.8,-10.943472,54698990.0,3928197.2,-59.718967,1268479.4,18860970.0,9.137696,35.99983,48.612453,121.05893,74.35973,-3431578.5,-70.92952,47815380.0,988.32715,7032925.0,145.36809,-598055.0,-12.361587,658055.0,13.601766,-808378.06,-16.70889,-4838011.5,-76.77764,1529587.2,137490600.0,135674820.0,-1.5112077,124027336.0,124027336.0,-1.7553731,5462581.0,5743266.0,-209569.66,1813317.9,2094863.8,515704.25,197163.1,-3.1555305,-56.851116,-41.25191,1189700.5,-41.372375,18,0,1,4,0,1,0,3,0,0,0,5,0,0,0,9,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,2,0,0,0,0,1
21410685000.0,3003514600.0,5839188000.0,127.845345,4909868000.0,5504130600.0,-35.781273,20389660000.0,1462395000.0,-43.91606,409069660.0,1021023170.0,23.906168,-13.660969,-14.9522,90.37815,95.23125,-1123268700.0,-60.25438,3268557000.0,175.33192,948183200.0,50.86244,6428400600.0,344.83224,328474240.0,17.620014,-3440301600.0,-184.54463,1864211100.0,600.752,117751570.0,4189237000.0,5554024400.0,-28.526634,3105134300.0,3105134300.0,-35.39132,646871500.0,481828830.0,1013781060.0,-86083224.0,53098240.0,-55255024.0,25546788.0,-32.90557,94.34582,108.39087,-1074082400.0,24.973436,10,0,7,3,1,0,0,20,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0,0,2,0,0,0,0,2,0,3,1,0,1,1,0,0,0,0,0,0,2,0,0,14,0,0,0,1,0,0,0,0,1
32551283000.0,20519221000.0,3925532000.0,-31.124727,256369360.0,1964169900.0,-47.38773,30983550000.0,4140115200.0,-7.267304,1054781000.0,1567731800.0,-76.965355,-18.157299,-6.016491,31.955719,95.18381,1232372100.0,98.43222,15198193000.0,1213.9124,634002300.0,50.63913,-1149112800.0,-91.78212,1117441200.0,89.25243,-1305304700.0,-104.25751,-1252000800.0,-265.40985,-5090695000.0,11955442000.0,17054462000.0,2.5454412,11419080000.0,11419080000.0,-14.625146,721699500.0,1553162900.0,1053143360.0,-4941877000.0,-5115507000.0,31737380.0,107744470.0,-21.252163,-247.66248,-307.43576,-5098339300.0,-283.4471,9,3,0,3,0,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1
518080320.0,23013852.0,138691230.0,-60.066208,2375523.0,32372760.0,4.592251,370868260.0,90368970.0,496.45575,5728834.5,147212060.0,-41.425224,-16.81059,-0.15625279,58.925144,71.58509,-128936824.0,-61.16252,27223150.0,12.913585,55299270.0,26.231785,-62535856.0,-29.664534,71019900.0,33.68903,-19337500.0,-9.172944,-210810180.0,-192.54388,-83260770.0,22061342.0,104905780.0,-59.515446,19875988.0,19875988.0,-85.59065,3639828.8,61771640.0,-2198433.5,-83446900.0,-84776970.0,-3215.27,685754.3,-92.63398,-261.45682,-359.27112,-82046710.0,-526.4018,8,1,1,12,0,3,0,19,0,0,0,16,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,4,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,1,1,0,0,0,1
304741470.0,12037847.0,62557828.0,-11.204873,55126004.0,77897770.0,-12.157881,270645120.0,1809079.5,-93.6488,5995433.0,34096372.0,51.331287,-10.769564,-15.155867,89.74414,88.81138,-47815140.0,-253.48183,2566584000.0,13606.202,11892994.0,63.048183,31496060.0,166.96968,44517.0,0.23599744,-2544259.0,-13.48785,-18863340.0,42.79464,12505950.0,2240890400.0,2255965200.0,715.42914,2219550700.0,2219550700.0,2924.6396,122352.87,37207284.0,502392.75,5950563.0,12114937.0,-259327.31,1258686.1,2742.5066,139.27153,117.52348,-20767724.0,89.23044,6,0,0,3,0,0,0,1,0,0,0,5,0,1,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1
4812637700.0,437682200.0,448970660.0,44.893066,2179943400.0,349750620.0,-30.45316,2985197800.0,550358800.0,49.50972,116518664.0,1827440100.0,2.373169,15.403528,24.628845,134.25807,62.028305,-188123700.0,-166.55763,12709970000.0,11252.928,108963070.0,96.471794,-2932519.5,-2.596342,45577020.0,40.352173,306560640.0,271.41724,112948110.0,33.848755,39973024.0,11810972000.0,11791898000.0,20.2612,11477485000.0,11477485000.0,20.230494,130054340.0,85464350.0,59295800.0,45577480.0,46634700.0,12835057.0,14290671.0,19.919622,9.144767,1.7860192,18931096.0,-34.837402,25,0,11,6,0,28,0,13,0,0,4,5,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,1,2,2,3,0,5,0,0,0,2,0,0,0,0,1
12429672000.0,4178180600.0,2403970800.0,42.40665,1249077000.0,1641644700.0,30.913227,7986209000.0,1060543740.0,-8.058457,269167070.0,4443463700.0,-7.8227396,16.105736,17.781338,80.798416,64.25116,532424930.0,84.650276,4357237000.0,692.7575,317147360.0,50.423286,-65939904.0,-10.48379,336534100.0,53.505585,183901860.0,29.23857,628970050.0,390.69516,713841660.0,5071834000.0,4330157000.0,22.691935,3462820900.0,3462820900.0,19.95002,224307060.0,318696500.0,183075500.0,863530050.0,866652860.0,143960720.0,35412900.0,40.6125,950.3326,451.8067,593512900.0,1504.4596,9,2,2,2,0,10,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,1,0,8,0,0,0,3,0,0,0,0,1
55816626000.0,5218128000.0,17222820000.0,26.90969,1430391800.0,6831382000.0,-18.97614,24538692000.0,3791837000.0,52.58202,1954377600.0,31277937000.0,2.1292717,12.545879,29.363943,168.44945,43.963047,1449224300.0,47.022022,29937414000.0,971.35944,870683840.0,28.250502,-5764416500.0,-187.03421,1024892600.0,33.254013,1497108600.0,48.57569,-3082012000.0,-147.78638,1414520800.0,27789527000.0,26954725000.0,94.63846,23630897000.0,23630897000.0,115.947754,1281553500.0,1040512830.0,421696320.0,2139997600.0,2146091100.0,671943600.0,341278980.0,91.52072,124.75688,99.70263,1189534800.0,120.34092,14,2,0,7,0,6,2,16,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,16,0,0,0,5,0,0,0,0,1
